AspectID	GroupID	HostKey	MaxMark	Description	VerificationCommands	ExpectedResult	WSOS
A1.01	A1	SHA-RTR01	0.2	SHA-RTR01 hostname соответствует заданию	На SHA-RTR01 выполнить `hostname` или `$env:COMPUTERNAME`.	Имя хоста = SHA-RTR01.	3
A1.02	A1	SHA-RTR01	0.3	SHA-RTR01 имеет корректные IP-адреса на Internet, DMZ, Internal и Client интерфейсах	На SHA-RTR01 выполнить `Get-NetIPConfiguration` и сверить все интерфейсы.	ISP/WAN 198.18.100.10/24; DMZ 10.21.10.1/24; Internal 10.21.20.1/24; Client 10.21.30.1/24; effective default route points to 198.18.100.1.	3
A1.03	A1	SHA-RTR01	0.3	На SHA-RTR01 включена маршрутизация между Shanghai-сетями	Проверить `Get-Service RemoteAccess`, `Get-NetIPInterface`; с SHA-CL01 выполнить `Test-Connection 10.21.20.10` и `Test-Connection 10.21.10.11`.	Shanghai Client достигает Shanghai Internal и DMZ через SHA-RTR01.	3
A1.04	A1	SHA-RTR01	0.35	На SHA-RTR01 настроены static routes к Beijing-сетям	Выполнить `Get-NetRoute -DestinationPrefix 10.31.20.0/24` и `Get-NetRoute -DestinationPrefix 10.31.30.0/24`.	Для обеих Beijing-сетей next-hop = 198.18.100.1 (ISP-SHA01 в Shanghai-WAN).	3
A1.05	A1	SHA-RTR01	0.3	На SHA-RTR01 настроен DHCP Relay для Shanghai ClientNet	Проверить RRAS DHCP Relay Agent или `netsh routing ip relay show ifbinding`; выполнить получение lease на SHA-CL01.	DHCP Relay направляет запросы Shanghai ClientNet на SHA-FS01; SHA-CL01 получает адрес из scope Shanghai-ClientNet.	4
A1.06	A1	SHA-RTR01	0.25	NAT не используется на SHA-RTR01 для межсайтовой маршрутизации	Выполнить `Get-NetNat`; если используется RRAS, проверить NAT в RRAS GUI или `netsh routing ip nat show interface`.	NAT-объекты отсутствуют или не применяются к private-сетям Shanghai/Beijing; связность обеспечивается static routes.	3
A1.07	A1	SHA-RTR01	0.3	SHA-RTR01 достигает simulated Internet и Beijing router	На SHA-RTR01 выполнить `Test-Connection 198.18.100.1`, `Test-Connection 198.18.101.10`, `Test-Connection 198.18.200.10` и `Test-Connection 198.18.201.10`.	ISP-SHA01, BJ-RTR01, INET-SRV01 и INET-CL01 доступны с SHA-RTR01 через simulated Internet path.	3
B1.01	B1	BJ-RTR01	0.15	BJ-RTR01 hostname соответствует заданию	На BJ-RTR01 выполнить `hostname` или `$env:COMPUTERNAME`.	Имя хоста = BJ-RTR01.	3
B1.02	B1	BJ-RTR01	0.25	BJ-RTR01 имеет корректные IP-адреса на Internet, Internal и Client интерфейсах	На BJ-RTR01 выполнить `Get-NetIPConfiguration` и сверить все интерфейсы.	ISP/WAN 198.18.101.10/24; Internal 10.31.20.1/24; Client 10.31.30.1/24; effective default route points to 198.18.101.1.	3
B1.03	B1	BJ-RTR01	0.25	На BJ-RTR01 включена маршрутизация между Beijing-сетями	Проверить RRAS/LAN Routing и `Get-NetIPInterface`; с BJ-CL01 выполнить `Test-Connection 10.31.20.10`.	Beijing Client достигает Beijing Internal через BJ-RTR01.	3
B1.04	B1	BJ-RTR01	0.35	На BJ-RTR01 настроены static routes к Shanghai-сетям	Выполнить `Get-NetRoute -DestinationPrefix 10.21.10.0/24`, `10.21.20.0/24`, `10.21.30.0/24`.	Для всех Shanghai-сетей next-hop = 198.18.101.1 (ISP-BJ01 в Beijing-WAN).	3
B1.05	B1	BJ-RTR01	0.25	На BJ-RTR01 настроен DHCP Relay для Beijing ClientNet	Проверить RRAS DHCP Relay Agent или `netsh routing ip relay show ifbinding`; выполнить получение lease на BJ-CL01.	DHCP Relay направляет запросы Beijing ClientNet на BJ-SRV01; BJ-CL01 получает адрес из scope Beijing-ClientNet.	4
B1.06	B1	BJ-RTR01	0.15	NAT не используется на BJ-RTR01 для межсайтовой маршрутизации	Выполнить `Get-NetNat`; если используется RRAS, проверить NAT в RRAS GUI или `netsh routing ip nat show interface`.	NAT-объекты отсутствуют или не применяются к private-сетям Shanghai/Beijing.	3
B1.07	B1	BJ-RTR01	0.1	BJ-RTR01 достигает simulated Internet и Shanghai router	На BJ-RTR01 выполнить `Test-Connection 198.18.101.1`, `Test-Connection 198.18.100.10`, `Test-Connection 198.18.200.10` и `Test-Connection 198.18.201.10`.	ISP-BJ01, SHA-RTR01, INET-SRV01 и INET-CL01 доступны с BJ-RTR01 через simulated Internet path.	3
