CriterionID	Subsection	Description	MaxMark	RunFrom	Commands	ExpectedResult	Notes
A4.1.1	A4.1	Все узлы имеют корректные hostname	0.14	maint-a4	for h in 10.44.10.1 10.44.10.20 10.44.20.1 10.44.20.20 10.44.30.10 10.44.40.10 10.44.40.20; do echo ===$h===; ssh root@$h 'hostnamectl --static'; done	Каждый узел возвращает ожидаемый hostname без временных/старых имён.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.2	A4.1	IPv4-адресация интерфейсов соответствует таблице	0.29	maint-a4	for h in 10.44.10.1 10.44.10.20 10.44.20.1 10.44.20.20 10.44.30.10 10.44.40.10 10.44.40.20; do echo ===$h===; ssh root@$h 'ip -4 -br addr'; done	Вывод содержит: sh-router 10.44.10.1/24 и 198.51.101.10/24; sh-operator 10.44.10.20/24; sz-router 198.51.101.20/24, 10.44.20.1/24, 10.44.30.1/24, 10.44.40.1/24; maint 10.44.20.20/24; storage 10.44.30.10/24; log 10.44.40.10/24; svc 10.44.40.20/24.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.3	A4.1	IPv6-адресация интерфейсов соответствует таблице	0.18	maint-a4	for h in 10.44.10.1 10.44.10.20 10.44.20.1 10.44.20.20 10.44.30.10 10.44.40.10 10.44.40.20; do echo ===$h===; ssh root@$h 'ip -6 -br addr show scope global'; done	Вывод содержит ожидаемые IPv6-адреса для всех узлов и gateway-интерфейсов.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.4	A4.1	Default gateway конечных узлов настроен корректно	0.18	maint-a4	for h in 10.44.10.20 10.44.20.20 10.44.30.10 10.44.40.10 10.44.40.20; do echo ===$h===; ssh root@$h 'ip route show default; ip -6 route show default'; done	Default routes ведут через 10.44.10.1, 10.44.20.1, 10.44.30.1 или 10.44.40.1; IPv6 default через соответствующий gateway.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.5	A4.1	IPv4 static routing на gateway-узлах настроен корректно	0.23	maint-a4	ssh root@10.44.10.1 'ip route'; ssh root@10.44.20.1 'ip route'	sh-router: routes to 10.44.20.0/24, 10.44.30.0/24, 10.44.40.0/24 via 198.51.101.20. sz-router: route to 10.44.10.0/24 via 198.51.101.10.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.6	A4.1	IPv6 static routing на gateway-узлах настроен корректно	0.18	maint-a4	ssh root@10.44.10.1 'ip -6 route'; ssh root@10.44.20.1 'ip -6 route'	sh-router имеет routes to 2001:db8:a4:20::/64, :30::/64, :40::/64 via 2001:db8:a4:100::20; sz-router имеет route to 2001:db8:a4:10::/64 via 2001:db8:a4:100::10.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.7	A4.1	IPv4 forwarding включён и постоянен на gateway-узлах	0.16	maint-a4	for h in 10.44.10.1 10.44.20.1; do echo ===$h===; ssh root@$h 'sysctl net.ipv4.ip_forward; grep -R "net.ipv4.ip_forward\s*=\s*1" /etc/sysctl.conf /etc/sysctl.d 2>/dev/null || true'; done	На обоих gateway текущее значение 1 и есть persistent запись.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.8	A4.1	IPv6 forwarding включён и постоянен на gateway-узлах	0.16	maint-a4	for h in 10.44.10.1 10.44.20.1; do echo ===$h===; ssh root@$h 'sysctl net.ipv6.conf.all.forwarding; grep -R "net.ipv6.conf.all.forwarding\s*=\s*1" /etc/sysctl.conf /etc/sysctl.d 2>/dev/null || true'; done	На обоих gateway текущее значение 1 и есть persistent запись.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.9	A4.1	IPv4 routed reachability между ключевыми сегментами работает	0.2	maint-a4	ssh root@10.44.10.20 'ping -c2 10.44.30.10'; ssh root@10.44.20.20 'ping -c2 10.44.40.20'; ssh root@10.44.20.20 'ping -c2 10.44.40.10'	Все указанные ping завершаются успешно.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.10	A4.1	IPv6 routed reachability между диагностическими парами работает	0.14	maint-a4	ssh root@10.44.10.20 'ping -6 -c2 2001:db8:a4:30::10'; ssh root@10.44.20.20 'ping -6 -c2 2001:db8:a4:40::10'; ssh root@10.44.20.20 'ping -6 -c2 2001:db8:a4:40::20'	Все указанные IPv6 ping завершаются успешно.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.11	A4.1	NAT между внутренними сетями не используется	0.18	maint-a4	ssh root@10.44.30.10 'timeout 10 tcpdump -ni any host 10.44.10.20 -c 1' & sleep 1; ssh root@10.44.10.20 'nc -vz -w3 10.44.30.10 2049 || true'; ssh root@10.44.10.1 'nft list ruleset | grep -Ei "masquerade|snat" || true'; ssh root@10.44.20.1 'nft list ruleset | grep -Ei "masquerade|snat" || true'	На storage-a4 виден source IP 10.44.10.20, а не адрес gateway. В ruleset gateway нет masquerade/SNAT для internal networks.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.12	A4.1	DNS authoritative zone cedar.a4.local обслуживается на log-a4	0.23	maint-a4	ssh root@10.44.20.20 'dig @10.44.40.10 cedar.a4.local SOA +norecurse; dig @10.44.40.10 cedar.a4.local NS +norecurse'	Ответ содержит SOA/NS для cedar.a4.local без обращения к внешним DNS.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.13	A4.1	A-записи для всех базовых FQDN созданы корректно	0.23	maint-a4	ssh root@10.44.20.20 'for q in sh-router-a4 sh-operator-a4 sz-router-a4 maint-a4 storage-a4 log-a4 svc-a4; do echo $q; dig @10.44.40.10 +short ${q}.cedar.a4.local A; done'	Ожидаемые A: sh-router 10.44.10.1; sh-operator 10.44.10.20; sz-router 10.44.20.1; maint 10.44.20.20; storage 10.44.30.10; log 10.44.40.10; svc 10.44.40.20.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.14	A4.1	AAAA-записи для всех базовых FQDN созданы корректно	0.18	maint-a4	ssh root@10.44.20.20 'for q in sh-router-a4 sh-operator-a4 sz-router-a4 maint-a4 storage-a4 log-a4 svc-a4; do echo $q; dig @10.44.40.10 +short ${q}.cedar.a4.local AAAA; done'	Ожидаемые AAAA соответствуют management/internal адресам: 2001:db8:a4:10::1/::20, :20::1/::20, :30::10, :40::10/::20.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.15	A4.1	Interface-specific DNS names для gateway созданы	0.16	maint-a4	ssh root@10.44.20.20 'for q in sh-router-wan-a4 sz-router-wan-a4 sz-router-client-a4 sz-router-storage-a4 sz-router-srv-a4; do echo ===$q A===; dig @10.44.40.10 +short ${q}.cedar.a4.local A; echo ===$q AAAA===; dig @10.44.40.10 +short ${q}.cedar.a4.local AAAA; done'	A-записи возвращают: 198.51.101.10, 198.51.101.20, 10.44.20.1, 10.44.30.1, 10.44.40.1. AAAA-записи возвращают: 2001:db8:a4:100::10, 2001:db8:a4:100::20, 2001:db8:a4:20::1, 2001:db8:a4:30::1, 2001:db8:a4:40::1.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.16	A4.1	CNAME-записи сервисных имён созданы	0.16	maint-a4	ssh root@10.44.20.20 'for q in dns log files backup storage svc; do r=$(dig @10.44.40.10 +short "${q}.cedar.a4.local" CNAME | head -n1); printf "CNAME=%s;ACTUAL=%s\n" "$q" "${r:-<EMPTY>}"; done'	dns.cedar.a4.local и log.cedar.a4.local -> log-a4.cedar.a4.local.; files.cedar.a4.local, backup.cedar.a4.local и storage.cedar.a4.local -> storage-a4.cedar.a4.local.; svc.cedar.a4.local -> svc-a4.cedar.a4.local. Для каждой записи выводится отдельный результат.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.17	A4.1	IPv4 PTR-записи для всех IPv4-адресов созданы	0.18	maint-a4	ssh root@10.44.20.20 'for ip in 10.44.10.1 198.51.101.10 10.44.10.20 198.51.101.20 10.44.20.1 10.44.30.1 10.44.40.1 10.44.20.20 10.44.30.10 10.44.40.10 10.44.40.20; do echo $ip; dig @10.44.40.10 -x $ip +short; done'	Каждый IP возвращает ожидаемый FQDN или interface-specific name.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
A4.1.18	A4.1	DNS recursion source-based policy настроена корректно	0.18	maint-a4	ssh root@10.44.20.20 'dig @10.44.40.10 nonexistent.external.example A +time=2 +tries=1'; ssh root@10.44.10.1 'dig -b 198.51.101.10 @10.44.40.10 nonexistent.external.example A +time=2 +tries=1 || true'	Internal source не получает REFUSED; WAN-source получает REFUSED или не получает рекурсивного ответа. Запросы к authoritative zone не считаются проверкой recursion.	При отказе зависимости выполнить проверку по IP/локально и классифицировать primary/dependency failure. Балл начисляется только за проверяемый результат данного критерия.
