No	AspectID	Subsection	Description	Requirement	MaxMark	Type	HowToMark
1	A1	Hostnames	Все 16 Cisco-устройств имеют требуемые hostname.	ISP1, IR1, IR2, CR1, CR2, DS1, DS2, AS1, AS2, IR3, DS3, DS4, BR1, AS3, BR2, AS4.	0.25	M	Проверить CLI prompt/`show hostname`, если поддерживается. 0,25 × корректные устройства / 16.
2	A2	Device identity / SSH crypto baseline	На всех Cisco-устройствах создан локальный identity/crypto baseline для SSH.	Domain c5.skill39.local; user netadmin privilege15; RSA key 2048 bit; SSH version2. Remote VTY restrictions и фактический login оцениваются только в F1–F3.	0.25	M	На всех devices проверить `show ip ssh` и RSA key size. Domain/user privilege — Restricted Check R6. Не выполнять здесь remote SSH/Telnet test, чтобы не дублировать F2/F3.
3	A3	Global baseline	Базовые системные параметры настроены согласно заданию.	`no ip domain-lookup`; `service timestamps log datetime msec`; timezone ALMT +5.	0.25	M	Проверить `show clock detail` и новый buffered log message с millisecond timestamp. `no ip domain-lookup` — только Restricted Check R1.
4	A4	L3/L2 device roles	IPv4/IPv6 routing включен только на предусмотренных устройствах.	IPv6 unicast-routing на L3 devices; IPv4 routing на DS1–DS4; AS1–AS4 остаются L2.	0.25	M	Проверить `show ipv6 route`, `show ip route`, `show ip interface brief`; AS management работает через default-gateway.
5	A5	WAN IPv4 addressing	Пять ISP-customer WAN links имеют точную IPv4-адресацию.	ISP1/IR1, IR2, IR3, BR1, BR2 используют заданные /30 prefixes 203.0.113.100/30–203.0.113.116/30.	0.25	M	`show ip interface brief` на ISP1 и пяти customer edges; сверить 10 WAN IPv4 addresses.
6	A6	WAN IPv6 addressing	Пять ISP-customer WAN links имеют точную IPv6-адресацию.	2001:db8:ffff:1::/64–:5::/64; ISP ::1, customer ::2.	0.25	M	`show ipv6 interface brief`; сверить 10 global WAN addresses.
7	A7	Loopback addressing	Loopback addresses всех routing devices и ISP Internet-test настроены точно.	Loopback0 на IR/CR/DS/BR; ISP1 без Loopback0, Loopback100 198.51.100.200/32 и Loopback200 2001:db8:ffff::200/128.	0.25	M	`show ip interface brief | include Loopback` и `show ipv6 interface brief | include Loopback`; сверить все addresses.
8	A8	HQ internal IPv4 addressing	Все HQ routed /30 links адресованы согласно таблице.	10.110.0.0/30–10.110.0.36/30 на IR1/IR2/CR1/CR2/DS1/DS2.	0.25	M	`show ip interface brief`; сверить 20 сторон 10 routed links.
9	A9	DC and VLAN IPv4 addressing	DC routed links и HQ/DC SVI IPv4 addresses соответствуют заданию.	IR3–DS3/DS4 /30; HQ VLAN10/40/50 .11/.12; DC VLAN130/150 .11/.12.	0.25	M	`show ip interface brief` на IR3/DS1–DS4; начислить пропорционально.
10	A10	Internal IPv6 addressing	HQ/DC routed links, Loopback0 и required SVI используют заданную IPv6-адресацию.	Все prefixes из IPv6 tables; sides ::1/::2; required SVI global addresses.	0.25	M	`show ipv6 interface brief` на HQ/DC L3 devices; сверить routed links, Loopbacks и SVI.
11	A11	Branch and access management addressing	BR1/BR2 subinterfaces и AS management SVI полностью настроены.	BR1 VLAN110/150; BR2 VLAN210/250; AS1/2 VLAN50 .21/.22; AS3/AS4 .21 local MGMT; gateways correct; branch IPv6 configured.	0.25	M	Проверить BR subinterfaces, AS SVI and remote management reachability from SVR2.
12	A12	Blank-start integrity / persistence	IR2–IR3 bypass не используется; configurations saved.	IR2 G0/4 и IR3 G0/2 down/unnumbered; no PBR/tunnels/unlisted static routes; startup соответствует working state.	0.25	M	`show ip interface brief`, `show ip policy`, `show ip interface brief | include Tunnel`, `show ip route static`, startup diff. Inactive static whitelist — R2.
13	B1	VLAN database	Все восемь switches имеют требуемые VLAN.	HQ 10,40,50,998,999; DC 130,150,998,999; AS3 110,150,998,999; AS4 210,250,998,999.	0.25	M	`show vlan brief` на 8 switches; 0,25 × devices with full correct VLAN set / 8.
14	B2	VTP	Все switches работают в VTP transparent mode.	DS1,DS2,AS1,AS2,DS3,DS4,AS3,AS4 — transparent.	0.25	M	`show vtp status`; пропорционально по 8 switches.
15	B3	Parking VLAN / unused ports	Неиспользуемые access ports безопасно выведены из эксплуатации.	Unused access ports в VLAN998 и administratively shutdown.	0.25	M	`show interfaces status` + `show vlan brief`; выборочно проверить unused ports.
16	B4	Trunk baseline	Все required trunks используют единый baseline.	Native VLAN999; nonegotiate; non-required VLAN не передаются.	0.25	M	`show interfaces trunk`; выборочно `show interfaces switchport` для DTP.
17	B5	Allowed VLAN lists	Allowed VLAN lists соответствуют назначению links.	HQ 10,40,50,999; DC 130,150,999; AS3 110,150,999; AS4 210,250,999.	0.25	M	`show interfaces trunk`; проверять required/extra VLAN.
18	B6	LACP configuration	DS1–DS2 Port-channel12 построен через LACP active/active.	Оба конца active; Po12 Layer2 trunk.	0.25	M	`show etherchannel summary`; Po12(SU), protocol LACP, members bundled.
19	B7	Port-channel state	Po12 operational и переносит HQ VLANs.	Оба members bundled; Po12 up; native999; allowed10,40,50,999.	0.25	M	`show etherchannel summary` + `show interfaces trunk`.
20	B8	HQ access ports	PC1 и PC2 подключены к правильным access VLAN.	AS1 PC1 VLAN10; AS2 PC2 VLAN40.	0.25	M	`show vlan brief`, `show interfaces switchport` на host ports.
21	B9	DC server access ports	SVR1 и SVR2 подключены к правильным VLAN.	SVR1 VLAN130; SVR2 VLAN150.	0.25	M	Проверить access port mode/VLAN и endpoint L2 reachability.
22	B10	Branch access/trunk ports	AS3/AS4 и BR1/BR2 связаны корректными router-on-a-stick trunks.	AS3 PC3 VLAN110; AS4 PC4 VLAN210; uplinks native999 и только local user/MGMT VLAN.	0.25	M	`show interfaces trunk`, `show vlan brief`, branch subinterfaces.
23	B11	Access-switch management reachability	Management SVI и default gateway всех access switches обеспечивают L3 reachability.	AS1 10.110.50.21, AS2 .22, AS3 10.112.50.21, AS4 10.113.50.21; correct default gateways. SSH здесь не оценивается.	0.25	M	С SVR2 выполнить ICMP ping всех четырех management SVI; на AS проверить `show ip interface brief` и gateway operational behavior. 0,0625 за каждый reachable switch. Remote SSH оценивается только F2.
24	B12	HQ MST region	DS1,DS2,AS1,AS2 находятся в одном MST region.	C5-MST revision5; MST1 VLAN10,50; MST2 VLAN40.	0.25	M	`show spanning-tree mst configuration` на 4 switches.
25	B13	HQ MST roots	HQ MST root placement соответствует заданию.	DS1 primary MST1/secondary MST2; DS2 primary MST2/secondary MST1.	0.25	M	`show spanning-tree mst 1`/`2`; проверить root IDs/root ports.
26	B14	DC MST	DS3/DS4 имеют детерминированный MST design.	C5-DC revision5; MST3 VLAN130,150; DS3 primary, DS4 secondary.	0.25	M	`show spanning-tree mst configuration` и `show spanning-tree mst 3`.
27	B15	HQ HSRP	IPv4 HSRP HQ работает с требуемыми active roles и preemption.	VLAN10/50 active DS1 priority120; VLAN40 active DS2 priority120; peer100; preempt; VIP .1.	0.25	M	На DS1/DS2 выполнить `show standby`/`show standby Vlan10`, `Vlan40`, `Vlan50` (не только brief). Проверить VIP, Active/Standby, priority120/100 и `Preemption enabled`. Начислить пропорционально по 3 VLAN.
28	B16	DC HSRP	IPv4 HSRP DC работает с требуемыми active roles и preemption.	VLAN130/150 active DS3 priority120, DS4 priority100; preempt; VIP .1.	0.25	M	На DS3/DS4 выполнить detailed `show standby` для VLAN130/150; проверить VIP, roles, priorities и `Preemption enabled`; затем ping VIP from servers.
29	C1	OSPFv2 HQ process	OSPFv2 process50 и router-id настроены на HQ L3 devices.	IR1,IR2,CR1,CR2,DS1,DS2; router-id = IPv4 Loopback0.	0.25	M	`show ip ospf | include Routing Process|Router ID`; пропорционально по 6.
30	C2	OSPFv2 HQ scope	HQ OSPFv2 area/passive design соответствует заданию.	Routed links area0; Loopback0 и VLAN10/40/50 passive area0; passive-interface default.	0.25	M	`show ip protocols` + `show ip ospf interface brief`.
31	C3	OSPFv2 point-to-point	Все HQ/DC routed /30 OSPFv2 links используют point-to-point.	DR/BDR election на /30 отсутствует.	0.25	M	Выборочно `show ip ospf interface <interface> | include Network Type|State`.
32	C4	OSPFv2 HQ adjacencies	Все требуемые HQ OSPFv2 neighbors FULL.	Adjacencies соответствуют routed HQ links; на SVI/Loopback соседств нет.	0.25	M	`show ip ospf neighbor` на 6 HQ devices; сверить IDs/interfaces.
33	C5	OSPFv2 DC process/scope	DC OSPFv2 process50 настроен только на IR3,DS3,DS4.	Router-id=Loopback0; routed links area0; Loopback0/VLAN130/150 passive; BR1/BR2 без OSPF.	0.25	M	`show ip ospf`, `show ip protocols`, `show ip ospf interface brief`; branches no OSPF.
34	C6	OSPFv2 DC adjacencies/routes	DC OSPFv2 converged и распространяет internal prefixes.	IR3 FULL with DS3/DS4; internal Loopback/VLAN routes present.	0.25	M	`show ip ospf neighbor` + `show ip route ospf`.
35	C7	OSPFv3 process/router-id	OSPFv3 process50 настроен на всех HQ/DC L3 devices.	9 devices; router-id = IPv4 Loopback0.	0.25	M	`show ipv6 ospf | include Routing Process|Router ID`; пропорционально по 9.
36	C8	OSPFv3 scope/passive	OSPFv3 только на required HQ/DC routed links, Loopback0 и VLAN prefixes.	Routed links area0; Loopbacks/VLAN passive; WAN/branch VLAN excluded.	0.25	M	`show ipv6 ospf interface brief`, `show ipv6 protocols`.
37	C9	OSPFv3 HQ adjacencies	Все HQ OSPFv3 adjacencies FULL.	Соседства соответствуют dual-stack HQ routed links.	0.25	M	`show ipv6 ospf neighbor` on HQ devices.
38	C10	OSPFv3 DC adjacencies/routes	DC OSPFv3 converged.	IR3–DS3/DS4 FULL; Loopback/VLAN routes present.	0.25	M	`show ipv6 ospf neighbor` + `show ipv6 route ospf`.
39	C11	IR1 IPv4 conditional default	IR1 импортирует в OSPFv2 только local BGP IPv4 default.	Exact 0/0; metric10 E2; no other BGP routes redistributed.	0.25	M	`show ip prefix-list`, `show route-map`, `show ip protocols`, HQ OSPF external database.
40	C12	IR2 IPv4 conditional default	IR2 импортирует в OSPFv2 только локальный eBGP IPv4 default.	В normal state exact 0/0 → OSPF E2 metric100. При потере local BGP 0/0 IR2-generated default LSA должен исчезнуть, даже если IR2 изучает OSPF default от IR1.	0.25	M	Normal state: policy + Type-5 LSA metric100. Затем Expert Test T6A: отключить только IR2 WAN/eBGP, IR1 оставить рабочим. Проверить отсутствие IR2-originated 0/0 LSA после convergence. Unconditional/self-sustained default = 0 баллов.
41	C13	IR3 IPv4 conditional default	IR3 импортирует в DC OSPFv2 только локальный eBGP IPv4 default.	Normal state exact 0/0 → E2 metric20. При потере BGP 0/0 IR3-generated default LSA полностью withdraw.	0.25	M	Normal state: prefix-list/route-map + DC Type-5 metric20. Затем T6B: отключить IR3 WAN/eBGP и убедиться, что 0/0 LSA от IR3 исчезает. Остальные BGP routes не должны быть OSPF externals.
42	C14	IR1 IPv6 conditional default	IR1 импортирует в OSPFv3 только local BGP ::/0.	Exact ::/0; metric10 E2; no site /48 redistributed.	0.25	M	`show ipv6 prefix-list`, `show route-map`, `show ipv6 protocols`, OSPFv3 database/RIB.
43	C15	IR2 IPv6 conditional default	IR2 импортирует в OSPFv3 только локальный eBGP IPv6 ::/0.	Normal state ::/0 → OSPFv3 E2 metric100. При потере local BGP ::/0 IR2-generated external default withdraw, независимо от OSPF-learned ::/0.	0.25	M	Normal state: policy/database. Затем T6A проверить исчезновение IR2-originated ::/0 external LSA после потери IR2 eBGP IPv6 default.
44	C16	IR3 IPv6 conditional default	IR3 импортирует в DC OSPFv3 только локальный eBGP IPv6 ::/0.	Normal state ::/0 → E2 metric20. При потере BGP ::/0 IR3-generated OSPFv3 default withdraw.	0.25	M	Normal state: IPv6 policy/database. Затем T6B проверить исчезновение IR3-originated ::/0 external LSA.
45	C17	IPv4 eBGP sessions	Пять customer IPv4 eBGP sessions с ISP1 Established.	IR1,IR2,IR3,BR1,BR2 peer with ISP1 correct AS.	0.25	M	`show bgp ipv4 unicast summary`; 0,05 per session.
46	C18	IPv6 eBGP sessions	Пять customer IPv6 eBGP sessions с ISP1 Established.	Все dual-stack peers active in IPv6 unicast AF.	0.25	M	`show bgp ipv6 unicast summary`; 0,05 per session.
47	C19	BGP session parameters	Пять eBGP TCP neighbor sessions используют timers10/30 и password Skill39@C5BGP; на каждой активны IPv4 и IPv6 unicast AF.	5 TCP neighbor sessions stable; both address-families active per peer; timers 10/30; exact password required.	0.25	M	Neighbor detail на пяти peer pairs подтверждает 10/30 и active IPv4/IPv6 AF. Sessions должны восстановиться после clear. Exact literal password — Restricted Check R3.
48	C20	Customer summary origin	Customer edges создают exact IPv4/IPv6 site summary Null0 AD254 и advertise их.	HQ IR1/IR2; DC IR3; branches own summaries. Нет extra Null0 specifics.	0.25	M	`show ip route static`, `show ipv6 route static`, advertised-routes; AD254.
49	C21	ISP inbound filters	ISP1 принимает от каждого customer только его exact /16 и /48, и inbound policy реально прикреплена к neighbor в обоих AF.	Для каждого из 5 peers neighbor detail показывает active inbound filter/route-map IPv4+IPv6; accepted NLRI — только own site summaries.	0.25	M	На ISP1 выполнить `show bgp ipv4 unicast neighbors <peer>` и IPv6 equivalent; подтвердить inbound policy attachment, затем сверить prefix-list/route-map и accepted paths. Созданный, но не прикрепленный filter не засчитывается.
50	C22	ISP outbound policy	ISP1 отправляет каждому customer только default + summaries остальных sites, и outbound policy реально прикреплена в обоих AF.	Neighbor detail показывает outbound policy IPv4+IPv6; own site summary customer не возвращается; more-specifics отсутствуют.	0.25	M	На ISP1 проверить neighbor detail policy attachment и per-neighbor `advertised-routes` в IPv4/IPv6. Наличие правильного route-map без attachment не считается выполнением.
51	C23	Customer inbound/outbound policy	Каждый customer edge имеет реально прикрепленные inbound/outbound BGP filters для IPv4 и IPv6.	Inbound accepts only default + exact other-site summaries; outbound only own /16,/48; neighbor detail confirms both directions in both AF.	0.25	M	На пяти edges проверить `show bgp ipv4 unicast neighbors <ISP-peer>` и IPv6 equivalent, затем BGP table и advertised-routes. 0,25 × fully correct edges / 5.
52	C24	ISP best-path / integrity	ISP1 имеет 4 unique site NLRI каждого AF и correct HQ preference.	HQ has two valid paths; IPv4+IPv6 best IR1 local-pref250 vs IR2 150.	0.25	M	Detailed BGP lookup all summaries in both AF; failover path change — G6/G7.
53	D1	Guest IPv4 placement	IPv4 ACL GUEST-IN создана и применена inbound на VLAN40 обоих DS.	DS1 and DS2 VLAN40 SVI use identical effective Guest policy.	0.25	M	`show access-lists GUEST-IN` и `show ip interface <Vlan40>` на DS1/DS2; проверить inbound placement.
54	D2	Guest IPv4 permit policy	GUEST-IN содержит все требуемые IPv4 service exceptions в правильном порядке.	Permit DHCP; DNS only to 10.111.130.10; ICMP to 198.51.100.200; TCP80/443 to SVR1 before enterprise deny.	0.25	M	`show access-lists GUEST-IN` на DS1/DS2: проверить entries, masks/order и counters после T4. Отдельный functional traffic здесь не генерировать; black-box result оценивается D7.
55	D3	Guest IPv4 deny/rest policy	GUEST-IN после service exceptions блокирует enterprise IPv4 и разрешает остальной IPv4.	Deny 10.110/16–10.113/16; final permit remaining IPv4; policy идентична по effective behavior на DS1/DS2.	0.25	M	`show access-lists GUEST-IN`: проверить deny ranges, final permit и counters после T4. Не повторять PC2 connectivity tests — они оцениваются только D7.
56	D4	Guest IPv6 placement	IPv6 ACL GUEST-V6 создана и применена inbound на VLAN40 обоих DS.	Одинаковая effective policy на DS1/DS2.	0.25	M	`show ipv6 access-list GUEST-V6` and interface ACL attachment on both DS.
57	D5	Guest IPv6 permit/ND policy	GUEST-V6 сохраняет ND/SLAAC и содержит требуемые IPv6 service exceptions.	Required ICMPv6 ND types permitted; DNS to SVR1; ICMPv6 Internet-test; TCP80/443 to SVR1 before enterprise deny.	0.25	M	`show ipv6 access-list GUEST-V6`: проверить ND/service entries and order; counters анализировать после T4. Endpoint SLAAC/functional result здесь не оценивается.
58	D6	Guest IPv6 deny/rest policy	GUEST-V6 блокирует enterprise /48 и разрешает остальной IPv6.	2001:db8:110::/48–:113::/48 denied after exceptions; final permit remaining IPv6.	0.25	M	`show ipv6 access-list GUEST-V6`: проверить deny prefixes/final permit and counters after T4. Functional result — только D7.
59	D7	Guest dual-stack black-box test	Полная Guest policy проходит единый контролируемый functional test.	PC2: DHCP/SLAAC/DNS/SVR1 HTTP(S)/Internet-test allowed; enterprise private/MGMT and SSH to network devices denied in IPv4+IPv6.	0.25	M	Выполнить Expert Test T4 строго по Acceptance Matrix GM1–GM12. Начислить 0,25 × successful expected outcomes / 12. D2–D6 оценивают policy structure/counters, а не повторяют эти traffic tests.
60	D8	Strict uRPF HQ	Strict uRPF включен на HQ user-facing VLAN10/VLAN40 SVI.	DS1/DS2 use reachable-via rx with exception ACL199.	0.25	M	`show ip interface Vlan10/Vlan40`; проверить strict RPF state на обоих DS.
61	D9	Strict uRPF branches	Strict uRPF включен на BR1 VLAN110 и BR2 VLAN210.	reachable-via rx with ACL199; normal traffic passes; spoofed-source BR1 dropped.	0.25	M	0,125 operational state BR1/BR2; 0,125 T3 spoofed-source test.
62	D10	uRPF DHCP exception	ACL199 разрешает только DHCP bootstrap source 0.0.0.0 как failed-RPF exception.	permit ip host 0.0.0.0 any; deny ip any any.	0.25	M	`show access-lists 199` + interface RPF state; DHCP bootstrap passes, spoofed nonzero source fails.
63	D11	Loose uRPF customer WAN	Loose uRPF включен на WAN IR1/IR2/IR3/BR1/BR2.	reachable-via any; dual-edge asymmetry allowed.	0.25	M	`show ip interface <WAN>` on five edges.
64	D12	Loose uRPF ISP	Loose uRPF включен на five customer-facing ISP1 interfaces.	reachable-via any; no strict RPF.	0.25	M	`show ip interface <customer-facing>` on ISP1.
65	D13	DHCP Snooping scope	DHCP Snooping включен на требуемых user VLAN; Option82 disabled.	AS1/AS2 VLAN10/40; AS3 VLAN110; AS4 VLAN210; no information option.	0.25	M	`show ip dhcp snooping`; проверить enabled VLANs and Option82 state.
66	D14	DHCP Snooping trust/rate	Snooping trust и rate-limit корректны и блокируют rogue server.	Uplinks trusted; PC ports untrusted rate15 pps; rogue OFFER/ACK dropped.	0.25	M	0,125 state via `show ip dhcp snooping`; 0,125 T1 rogue DHCP test.
67	D15	DAI scope	Dynamic ARP Inspection включен на тех же user VLAN.	VLAN10/40 AS1/AS2, VLAN110 AS3, VLAN210 AS4.	0.25	M	`show ip arp inspection`; сверить enabled VLANs.
68	D16	DAI trust/rate	DAI trust/rate корректны и блокируют forged ARP.	Only uplinks trusted; client ports ARP rate15; forged ARP inconsistent with binding dropped.	0.25	M	0,125 `show ip arp inspection interfaces`; 0,125 T2 ARP-spoof test.
69	D17	IP Source Guard	IP Source Guard включен на PC1–PC4 access ports.	Active and tied to DHCP Snooping bindings.	0.25	M	`show ip verify source` on AS1/AS2/AS3/AS4; 4 PC ports active.
70	D18	Port-security	Port-security PC1–PC4 использует sticky, maximum1, restrict.	До tests ports secure-up, violation count0.	0.25	M	`show port-security interface <port>`; max1/restrict/sticky/secure-up.
71	D19	PC edge STP protection	PC1–PC4 ports используют PortFast и BPDU Guard.	All four user host ports operational as edge ports.	0.125	M	`show spanning-tree interface <port> detail`; 0,125 × correct ports / 4.
72	D20	Server edge STP protection	SVR1/SVR2 ports используют PortFast и BPDU Guard.	Port-security/DAI/IPSG on server ports not required.	0.125	M	Проверить server-facing ports via spanning-tree interface detail.
73	D21	Security operational baseline	До destructive tests security features в чистом рабочем состоянии.	Snooping bindings PC1–PC4; DAI/IPSG active; port-security secure-up; violation count0.	0.25	M	`show ip dhcp snooping binding`, DAI, IPSG, port-security; 0,25 × healthy client endpoints / 4.
74	E1	DHCP pools	IR3 содержит четыре требуемых DHCP pools.	HQ-STAFF 10.110.10/24; HQ-GUEST 10.110.40/24; BR1-USERS 10.112.10/24; BR2-USERS 10.113.10/24.	0.25	M	`show ip dhcp pool`; проверить four pool networks.
75	E2	DHCP exclusions	В каждой DHCP network исключены системные ranges.	.1–.99 и .200–.254 не выдаются clients.	0.25	M	Operational bindings + Restricted Check R4 для exact excluded ranges.
76	E3	DHCP options	Каждый pool выдает правильный gateway, DNS и lease.	Gateway corresponding VLAN; DNS10.111.130.10; lease 0 days 4 hours.	0.25	M	На PC1–PC4 проверить received gateway/DNS/lease duration.
77	E4	DHCP relay	DHCP relay только на required user VLAN.	Helper10.111.255.1 on HQ VLAN10/40 both DS and BR1/BR2 user subinterfaces; no helper MGMT/server.	0.25	M	`show ip interface` on relevant SVI/subinterfaces and actual DHCP success.
