CriterionID	Subsection	Description	MaxMark	RunFrom	Commands	ExpectedResult	Notes
A3.1.1	A3.1	Все узлы имеют корректные hostname согласно заданию	0.25	admin-a3	for h in 10.33.10.1 10.33.10.20 10.33.20.1 10.33.20.20 10.33.40.10 10.33.40.20 10.33.30.10; do ssh root@$h 'hostnamectl --static'; done	Вывод содержит ожидаемые hostname без временных/старых имён.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.2	A3.1	IPv4-адресация интерфейсов соответствует таблице	0.35	admin-a3	for h in 10.33.10.1 10.33.10.20 10.33.20.1 10.33.20.20 10.33.40.10 10.33.40.20 10.33.30.10; do echo ===$h===; ssh root@$h 'ip -4 addr show'; done	Адреса совпадают: 10.33.10.1/24, 10.33.10.20/24, 192.0.2.10/24, 192.0.2.20/24, 10.33.20.1/24, 10.33.30.1/24, 10.33.40.1/24, 10.33.20.20/24, 10.33.30.10/24, 10.33.40.10/24, 10.33.40.20/24.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.3	A3.1	IPv6-адресация интерфейсов соответствует таблице	0.25	admin-a3	for h in 10.33.10.1 10.33.10.20 10.33.20.1 10.33.20.20 10.33.40.10 10.33.40.20 10.33.30.10; do echo ===$h===; ssh root@$h 'ip -6 addr show scope global'; done	Вывод содержит требуемые global IPv6 addresses на всех интерфейсах.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.4	A3.1	Default gateway endpoint-узлов настроен корректно	0.25	admin-a3	for h in 10.33.10.20 10.33.20.20 10.33.40.10 10.33.40.20 10.33.30.10; do echo ===$h===; ssh root@$h 'ip route show default; ip -6 route show default'; done	Default routes ведут через 10.33.10.1, 10.33.20.1, 10.33.40.1 или 10.33.30.1; IPv6 default через соответствующий gateway.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.5	A3.1	IPv4 static routing на gateway-узлах настроен корректно	0.25	admin-a3	ssh root@10.33.10.1 'ip route'; ssh root@10.33.20.1 'ip route'	branch-fw-a3: routes to 10.33.20.0/24, 10.33.30.0/24, 10.33.40.0/24 via 192.0.2.20. hq-fw-a3: route to 10.33.10.0/24 via 192.0.2.10.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.6	A3.1	IPv6 static routing на gateway-узлах настроен корректно	0.25	admin-a3	ssh root@10.33.10.1 'ip -6 route'; ssh root@10.33.20.1 'ip -6 route'	branch-fw-a3 routes to 2001:db8:a3:20::/64, :30::/64, :40::/64 via 2001:db8:a3:100::20; hq-fw-a3 route to 2001:db8:a3:10::/64 via 2001:db8:a3:100::10.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.7	A3.1	IPv4 forwarding включён и постоянен на branch-fw-a3 и hq-fw-a3	0.20	admin-a3	ssh root@10.33.10.1 'runtime=$(sysctl -n net.ipv4.ip_forward 2>/dev/null); effective=$(/usr/lib/systemd/systemd-sysctl --cat-config 2>/dev/null | awk -v wanted="net.ipv4.ip_forward" '\''/^# \/.*\.conf/ {source=substr($0,3); next} /^[[:space:]]*[#;]/ {next} {line=$0; split(line,a,"="); key=a[1]; gsub(/[[:space:]]/,"",key); if(key==wanted){value=a[2]; gsub(/[[:space:]]/,"",value); last=value; lastsource=source}} END{if(last!="") printf "%s|%s",last,lastsource}'\''); value=${effective%%|*}; source=${effective#*|}; echo "IPV4_FORWARD_RUNTIME=$runtime"; [ -n "$effective" ] && echo "IPV4_FORWARD_EFFECTIVE=$value source=$source" || echo "IPV4_FORWARD_PERSISTENT_MISSING"; if [ "$runtime" = 1 ] && [ "$value" = 1 ]; then echo "IPV4_FORWARD_OK branch-fw-a3"; else echo "IPV4_FORWARD_FAIL branch-fw-a3: runtime=$runtime persistent=${value:-missing}"; exit 1; fi'; ssh root@10.33.20.1 'runtime=$(sysctl -n net.ipv4.ip_forward 2>/dev/null); effective=$(/usr/lib/systemd/systemd-sysctl --cat-config 2>/dev/null | awk -v wanted="net.ipv4.ip_forward" '\''/^# \/.*\.conf/ {source=substr($0,3); next} /^[[:space:]]*[#;]/ {next} {line=$0; split(line,a,"="); key=a[1]; gsub(/[[:space:]]/,"",key); if(key==wanted){value=a[2]; gsub(/[[:space:]]/,"",value); last=value; lastsource=source}} END{if(last!="") printf "%s|%s",last,lastsource}'\''); value=${effective%%|*}; source=${effective#*|}; echo "IPV4_FORWARD_RUNTIME=$runtime"; [ -n "$effective" ] && echo "IPV4_FORWARD_EFFECTIVE=$value source=$source" || echo "IPV4_FORWARD_PERSISTENT_MISSING"; if [ "$runtime" = 1 ] && [ "$value" = 1 ]; then echo "IPV4_FORWARD_OK hq-fw-a3"; else echo "IPV4_FORWARD_FAIL hq-fw-a3: runtime=$runtime persistent=${value:-missing}"; exit 1; fi'	На каждом gateway runtime равен 1, а последнее эффективное присваивание из systemd-sysctl --cat-config также равно 1; выводится файл-источник.	Debian 13: проверяются все sysctl.d-каталоги с учётом порядка systemd; /etc/sysctl.conf не считается источником systemd-sysctl.
A3.1.8	A3.1	IPv6 forwarding включён и постоянен на branch-fw-a3 и hq-fw-a3	0.20	admin-a3	ssh root@10.33.10.1 'runtime=$(sysctl -n net.ipv6.conf.all.forwarding 2>/dev/null); effective=$(/usr/lib/systemd/systemd-sysctl --cat-config 2>/dev/null | awk -v wanted="net.ipv6.conf.all.forwarding" '\''/^# \/.*\.conf/ {source=substr($0,3); next} /^[[:space:]]*[#;]/ {next} {line=$0; split(line,a,"="); key=a[1]; gsub(/[[:space:]]/,"",key); if(key==wanted){value=a[2]; gsub(/[[:space:]]/,"",value); last=value; lastsource=source}} END{if(last!="") printf "%s|%s",last,lastsource}'\''); value=${effective%%|*}; source=${effective#*|}; echo "IPV6_FORWARD_RUNTIME=$runtime"; [ -n "$effective" ] && echo "IPV6_FORWARD_EFFECTIVE=$value source=$source" || echo "IPV6_FORWARD_PERSISTENT_MISSING"; if [ "$runtime" = 1 ] && [ "$value" = 1 ]; then echo "IPV6_FORWARD_OK branch-fw-a3"; else echo "IPV6_FORWARD_FAIL branch-fw-a3: runtime=$runtime persistent=${value:-missing}"; exit 1; fi'; ssh root@10.33.20.1 'runtime=$(sysctl -n net.ipv6.conf.all.forwarding 2>/dev/null); effective=$(/usr/lib/systemd/systemd-sysctl --cat-config 2>/dev/null | awk -v wanted="net.ipv6.conf.all.forwarding" '\''/^# \/.*\.conf/ {source=substr($0,3); next} /^[[:space:]]*[#;]/ {next} {line=$0; split(line,a,"="); key=a[1]; gsub(/[[:space:]]/,"",key); if(key==wanted){value=a[2]; gsub(/[[:space:]]/,"",value); last=value; lastsource=source}} END{if(last!="") printf "%s|%s",last,lastsource}'\''); value=${effective%%|*}; source=${effective#*|}; echo "IPV6_FORWARD_RUNTIME=$runtime"; [ -n "$effective" ] && echo "IPV6_FORWARD_EFFECTIVE=$value source=$source" || echo "IPV6_FORWARD_PERSISTENT_MISSING"; if [ "$runtime" = 1 ] && [ "$value" = 1 ]; then echo "IPV6_FORWARD_OK hq-fw-a3"; else echo "IPV6_FORWARD_FAIL hq-fw-a3: runtime=$runtime persistent=${value:-missing}"; exit 1; fi'	На каждом gateway runtime равен 1, а последнее эффективное присваивание из systemd-sysctl --cat-config также равно 1; выводится файл-источник.	Debian 13: проверяются все sysctl.d-каталоги с учётом порядка systemd; /etc/sysctl.conf не считается источником systemd-sysctl.
A3.1.9	A3.1	IPv4 routed reachability между ключевыми сегментами работает	0.25	admin-a3	ssh root@10.33.10.20 'ping -c2 10.33.40.10 && ping -c2 10.33.20.20'; ssh root@10.33.20.20 'ping -c2 10.33.10.20 && ping -c2 10.33.40.10'	Ping успешен для указанных пар, если firewall matrix разрешает ICMP для пары.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
A3.1.10	A3.1	IPv6 routed reachability между указанными парами работает	0.20	admin-a3	ssh root@10.33.10.20 'ping -6 -c2 2001:db8:a3:40::10'; ssh root@10.33.20.20 'ping -6 -c2 2001:db8:a3:10::20'	IPv6 ping успешен для branch-user-a3 -> proxy-a3 и admin-a3 -> branch-user-a3.	Если проверка зависит от DNS, при отказе повторить по IP и классифицировать primary failure отдельно.
